filepath,filename,width,height,aesthetic_score_raw,quality_score_raw,aesthetic_score_norm,quality_score_norm,aesthetic_score_global_norm,quality_score_global_norm,final_score,final_score_batch,final_score_global,bucket,feedback,comment,is_raw,aspect_ratio,megapixels,label
D:\松下\DSC08873.jpg,DSC08873.jpg,4128.0,6192.0,5.7906494140625,0.6916381120681763,0.7167287885066833,0.7752238610238358,0.5322943793402778,0.6916381120681763,0.7401268175135443,0.7401268175135443,0.5960318724314372,top,,,0.0,0.6666666666666666,25.560576,1
D:\松下\DSC08883.jpg,DSC08883.jpg,4128.0,6192.0,5.758976936340332,0.6927473545074463,0.7035078437531225,0.7769449618587962,0.5287752151489258,0.6927473545074463,0.732882690995392,0.732882690995392,0.5943640708923339,top,,,0.0,0.6666666666666666,25.560576,1
D:\松下\DSC08895.jpg,DSC08895.jpg,4128.0,6192.0,5.411151885986328,0.6972346901893616,0.5583163050622234,0.7839075129796991,0.49012798733181423,0.6972346901893616,0.6485527882292137,0.6485527882292137,0.5729706684748331,top,,,0.0,0.6666666666666666,25.560576,1
D:\松下\DSC08909.jpg,DSC08909.jpg,4128.0,6192.0,5.489812850952148,0.6803589463233948,0.5911515092163652,0.7577231047475286,0.4988680945502387,0.6803589463233948,0.6577801474288305,0.6577801474288305,0.5714644352595012,top,,,0.0,0.6666666666666666,25.560576,1
D:\松下\DSC08913.jpg,DSC08913.jpg,4128.0,6192.0,5.140995502471924,0.656062662601471,0.4455457585771332,0.7200249850941199,0.4601106113857693,0.656062662601471,0.5553374491839279,0.5553374491839279,0.53849143187205,mid,,,0.0,0.6666666666666666,25.560576,1
D:\松下\DSC08945.jpg,DSC08945.jpg,4128.0,6192.0,5.119814872741699,0.6714662909507751,0.4367043935925134,0.7439252585373677,0.45775720808241105,0.6714662909507751,0.5595927395704552,0.5595927395704552,0.5432408412297567,mid,,,0.0,0.6666666666666666,25.560576,1
D:\松下\mwh_PixCake\P1014968.jpg,P1014968.jpg,4000.0,6000.0,5.203493118286133,0.6386041045188904,0.47163394571415035,0.6929362821835914,0.4670547909206814,0.6386041045188904,0.5601548803019267,0.5601548803019267,0.535674516359965,mid,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\P1014971.jpg,P1014971.jpg,4000.0,6000.0,5.753528594970703,0.6208958625793457,0.7012335594082642,0.6654601697406798,0.5281698438856337,0.6208958625793457,0.6869242035412304,0.6869242035412304,0.5652602513631185,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\P1014991.jpg,P1014991.jpg,6000.0,4000.0,5.294330596923828,0.6581348180770874,0.5095519544394723,0.7232401420273495,0.47714784410264754,0.6581348180770874,0.5950272294746233,0.5950272294746233,0.5495426336924234,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1014992.jpg,P1014992.jpg,6000.0,4000.0,5.139917373657227,0.585417628288269,0.44509571858905994,0.6104121329007984,0.4599908192952474,0.585417628288269,0.5112222843137553,0.5112222843137553,0.510161542892456,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1014993.jpg,P1014993.jpg,6000.0,4000.0,5.391050338745117,0.5688837170600891,0.5499253781550072,0.5847581122714489,0.4878944820827908,0.5688837170600891,0.5638584718015839,0.5638584718015839,0.5202901760737101,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1015003.jpg,P1015003.jpg,4000.0,6000.0,5.466753005981445,0.6417210102081299,0.5815257092060945,0.6977724737989911,0.4963058895534939,0.6417210102081299,0.6280244150432531,0.6280244150432531,0.5544719378153482,mid,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\P1015019.jpg,P1015019.jpg,4000.0,6000.0,5.269339561462402,0.5683993101119995,0.4991200235350412,0.5840065063345482,0.4743710623847114,0.5683993101119995,0.533074616654844,0.533074616654844,0.5119823614756267,mid,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\P1015020.jpg,P1015020.jpg,4000.0,6000.0,5.010614395141602,0.6217496395111084,0.39112117480938485,0.6667848902328869,0.44562382168240017,0.6217496395111084,0.5013866609787857,0.5013866609787857,0.5160741488138835,mid,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\P1015030.jpg,P1015030.jpg,6000.0,4000.0,4.836188316345215,0.6986978650093079,0.3183110343594882,0.7861777753814514,0.4262431462605794,0.6986978650093079,0.5054577307682735,0.5054577307682735,0.5352250337600708,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1015054.jpg,P1015054.jpg,6000.0,4000.0,5.701181888580322,0.5478336215019226,0.6793826351045522,0.5520967789519263,0.5223535431755914,0.5478336215019226,0.6284682926435019,0.6284682926435019,0.5325455745061238,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1015062.jpg,P1015062.jpg,6000.0,4000.0,5.481836795806885,0.5000144839286804,0.5878220891011501,0.47790059361794357,0.49798186620076496,0.5000144839286804,0.5438534909078675,0.5438534909078675,0.49879491329193115,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1015064.jpg,P1015064.jpg,6000.0,4000.0,5.549091339111328,0.5532987713813782,0.6158959458184498,0.5605765068163824,0.505454593234592,0.5532987713813782,0.5937681702176228,0.5937681702176228,0.5245922644933064,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1015065.jpg,P1015065.jpg,6000.0,4000.0,5.5704145431518555,0.5562207102775574,0.6247968251579717,0.5651101879088828,0.5078238381279839,0.5562207102775574,0.6009221702583362,0.6009221702583362,0.5271825869878133,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1015074.jpg,P1015074.jpg,4000.0,6000.0,5.245442867279053,0.6169077754020691,0.489144900137301,0.659272252719381,0.47171587414211696,0.6169077754020691,0.557195841170133,0.557195841170133,0.5297926346460978,mid,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\P1015094.jpg,P1015094.jpg,6000.0,4000.0,5.314168930053711,0.5618582963943481,0.5178330086914843,0.5738574678805684,0.4793521033393012,0.5618582963943481,0.5402427923671179,0.5402427923671179,0.51235458056132,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1015095.jpg,P1015095.jpg,6000.0,4000.0,5.035377502441406,0.5108591914176941,0.4014579623638385,0.4947272443603428,0.44837527804904515,0.5108591914176941,0.43876567516244025,0.43876567516244025,0.4733688433965047,low,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1015097.jpg,P1015097.jpg,6000.0,4000.0,5.58443546295166,0.5758572220802307,0.6306495344942414,0.5955782043341592,0.5093817181057401,0.5758572220802307,0.6166210024302086,0.6166210024302086,0.5359719196955364,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1015131.jpg,P1015131.jpg,6000.0,4000.0,5.256747245788574,0.605320394039154,0.493863652015785,0.641293269016014,0.47297191619873047,0.605320394039154,0.5528354988158766,0.5528354988158766,0.5259113073349,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1015142.jpg,P1015142.jpg,6000.0,4000.0,5.194719314575195,0.5732312202453613,0.4679715238740143,0.5915036992570042,0.4660799238416884,0.5732312202453613,0.5173843940272103,0.5173843940272103,0.5089404424031576,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\P1015143.jpg,P1015143.jpg,6000.0,4000.0,5.282133102416992,0.6027496457099915,0.5044603919030223,0.6373044952915731,0.4757925669352214,0.6027496457099915,0.5575980332584426,0.5575980332584426,0.5265753984451294,mid,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\职业照_0006.jpg,职业照_0006.jpg,4000.0,6000.0,6.003393173217773,0.6570305228233337,0.8055337601647135,0.7215267172466234,0.5559325748019748,0.6570305228233337,0.7719309429974774,0.7719309429974774,0.5963717540105183,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\职业照_0016.jpg,职业照_0016.jpg,4000.0,6000.0,5.696595191955566,0.6021161675453186,0.677468024469755,0.6363215904192485,0.5218439102172852,0.6021161675453186,0.6610094508495524,0.6610094508495524,0.5539528131484985,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\职业照_0017.jpg,职业照_0017.jpg,4000.0,6000.0,5.836503982543945,0.614679217338562,0.7358697196933598,0.6558144214932478,0.5373893313937717,0.614679217338562,0.703847600413315,0.703847600413315,0.5683052857716878,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\职业照_0033.jpg,职业照_0033.jpg,4000.0,6000.0,6.247994422912598,0.637510359287262,0.9076369059064116,0.6912392268197266,0.583110491434733,0.637510359287262,0.8210778342717375,0.8210778342717375,0.6048704385757446,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\职业照_0046.jpg,职业照_0046.jpg,4000.0,6000.0,6.213088035583496,0.6422438621520996,0.8930660402332963,0.6985837310007253,0.5792320039537218,0.6422438621520996,0.8152731165402679,0.8152731165402679,0.604436747233073,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\职业照_0052.jpg,职业照_0052.jpg,4000.0,6000.0,6.046063423156738,0.6576405167579651,0.8233454710770187,0.7224731839819799,0.560673713684082,0.6576405167579651,0.7829965562390031,0.7829965562390031,0.5994604349136352,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\职业照_0059.jpg,职业照_0059.jpg,4000.0,6000.0,6.082594871520996,0.6692076325416565,0.8385946809692202,0.7404207236077602,0.5647327635023329,0.6692076325416565,0.7993250980246362,0.7993250980246362,0.6065227111180624,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\职业照_0069.jpg,职业照_0069.jpg,4000.0,6000.0,5.590373516082764,0.6179932951927185,0.6331282377102857,0.6609565454870489,0.5100415017869737,0.6179932951927185,0.6442595608209909,0.6442595608209909,0.5532222191492716,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\职业照_0081.jpg,职业照_0081.jpg,6000.0,4000.0,5.737192153930664,0.6442879438400269,0.6944142891776629,0.7017553286382393,0.5263546837700738,0.6442879438400269,0.6973507049618934,0.6973507049618934,0.573527987798055,top,,,0.0,1.5,24.0,1
D:\松下\mwh_PixCake\职业照_0085.jpg,职业照_0085.jpg,4000.0,6000.0,5.8802595138549805,0.6739482879638672,0.7541344562637167,0.7477763256984955,0.5422510570949979,0.6739482879638672,0.7515912040376282,0.7515912040376282,0.5949299494425456,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\职业照_0087.jpg,职业照_0087.jpg,4000.0,6000.0,5.728368759155273,0.6625403761863708,0.6907311666923435,0.7300758070469322,0.5253743065728081,0.6625403761863708,0.706469022834179,0.706469022834179,0.5802407344182332,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\职业照_0089.jpg,职业照_0089.jpg,4000.0,6000.0,5.5071001052856445,0.6639754176139832,0.5983676745094245,0.7323024176703878,0.5007889005872939,0.6639754176139832,0.6519415717738098,0.6519415717738098,0.5660635073979696,top,,,0.0,0.6666666666666666,24.0,1
D:\松下\mwh_PixCake\职业照_0095.jpg,职业照_0095.jpg,4000.0,6000.0,5.668756008148193,0.6879285573959351,0.6658471997799362,0.7694681151041904,0.5187506675720215,0.6879285573959351,0.7072955659096378,0.7072955659096378,0.586421823501587,top,,,0.0,0.6666666666666666,24.0,1
